Emp_id,Name,gender,Department,Job Role,Age,Salary,Performance Score,Attendence_Percent,Work_Hour_Per_Month,Attrition,Joining Date,Location
1,Walsh Arrundale,Male,Sales,Analyst,39,58884.68,2,83.39,175,no,9-15-2015,Pune
2,Toby Mainz,Female,IT,Developer,24,61219.44,2,93.71,172,yes,8-14-2017,Mumbai
3,Conchita Eblein,Female,HR,Analyst,23,48617.34,1,96.1,155,yes,04-03-2022,Pune
4,Robinet Hairyes,Male,Finance,Executive,35,82611.85,2,80.84,150,yes,10-22-2025,Nagpur
5,Ofella O'Boyle,Female,Finance,Executive,26,66492.2,3,83.67,180,no,5-21-2015,Nagpur
6,Yovonnda Elliss,Female,HR,Developer,23,69866.88,4,88.71,189,no,6-26-2015,Solapur
7,Dalton Daw,Male,Sales,Developer,41,38614.39,3,94.23,197,yes,3-16-2020,Amravati
8,Dion Rumney,Female,IT,Manager,41,57979.33,1,92.5,155,no,11-13-2024,Aurangabad
9,Ewart Cubin,Male,HR,Executive,25,78938.09,3,85.85,153,yes,8-13-2017,Nashik
10,Bartie Metzke,Male,Sales,Executive,33,37449.54,1,98.48,189,no,2-22-2023,Aurangabad
11,Mort Pinshon,Male,Finance,Executive,37,77474.21,5,89.61,163,no,4-15-2024,Mumbai
12,Loleta Markl,Agender,IT,Manager,41,63293.95,1,90.12,185,yes,09-12-2021,Solapur
13,Arty Pedreschi,Male,Finance,Analyst,40,50490.34,5,81.38,172,yes,11-23-2021,Pune
14,Jayson Kerswell,Male,Finance,Executive,38,33291.1,5,85.72,169,no,06-04-2015,Pune
15,Timmie Witts,Female,HR,Analyst,30,63636.13,1,83.22,163,yes,08-02-2024,Aurangabad
16,Natka Colcomb,Female,HR,Executive,22,52164.82,5,97.73,185,no,4-28-2020,Amravati
17,Sacha Toolan,Female,IT,Executive,23,77218.12,1,81.9,196,yes,12-21-2023,Amravati
18,Katinka Faunch,Female,Finance,Analyst,25,44017.34,4,92.81,188,no,11-16-2019,Pune
19,Udale Chesnay,Male,Finance,Manager,36,61606.72,3,83.65,159,no,08-05-2024,Amravati
20,Regan Blackhall,Male,Sales,Executive,29,50501.22,4,88.86,186,no,03-04-2019,Amravati
21,Jami Jacmard,Female,HR,Developer,35,69729.23,1,99.16,197,no,6-27-2022,Nagpur
22,Krishnah Gaddas,Male,Finance,Developer,41,48494.5,3,97.87,179,yes,5-16-2015,Solapur
23,Vevay Herculson,Female,Sales,Executive,41,44104.47,4,92,155,yes,11-02-2015,Nashik
24,Ola Whittock,Female,Sales,Analyst,26,70116.68,2,96.91,178,yes,10-29-2019,Aurangabad
25,Bartholomeo Strattan,Male,Sales,Manager,39,38241.86,3,92.24,151,yes,9-27-2015,Mumbai
26,Loralee Rillett,Female,HR,Analyst,31,77621.71,4,86.46,164,no,05-11-2017,Pune
27,Bendite Ricarde,Female,Sales,Manager,25,45590.74,5,86.63,191,yes,3-13-2022,Solapur
28,Kenon Crosland,Male,HR,Analyst,24,57678.77,1,81.44,170,yes,2-24-2021,Solapur
29,Noby Ryley,Male,IT,Executive,37,27606.95,4,89.95,176,yes,5-24-2024,Nashik
30,Skipton Belliveau,Male,Sales,Analyst,40,40920.31,4,97.39,161,yes,12-19-2022,Nashik
31,Elissa Caustic,Female,Sales,Manager,26,30675.9,3,86.68,151,yes,10-23-2018,Solapur
32,Obediah Phelipeau,Male,Sales,Executive,42,64332.8,5,82.78,163,yes,11-09-2017,Solapur
33,Hamilton McGoldrick,Male,Finance,Analyst,39,43233.05,5,86.4,180,yes,7-19-2021,Pune
34,Laurence Bowle,Male,Finance,Manager,30,39069.73,4,84.41,191,no,8-18-2024,Amravati
35,Dory Desorts,Female,Finance,Manager,40,37736.71,2,95.67,194,yes,11-12-2024,Mumbai
36,Sanson Schole,Male,IT,Analyst,34,46399.67,1,84.68,172,no,3-15-2017,Solapur
37,Rebeca Ousley,Female,HR,Manager,35,63448.94,3,97.26,165,yes,6-13-2017,Aurangabad
38,Aguie McFaell,Male,Finance,Executive,23,73864.31,1,93.44,155,no,12-04-2021,Pune
39,Nevil Mostin,Male,Sales,Manager,38,77040.77,5,81.47,197,yes,6-19-2015,Solapur
40,Hoebart Offell,Male,HR,Analyst,25,80749.67,5,81.78,167,yes,10-13-2017,Solapur
41,Garrik Dennistoun,Male,IT,Analyst,33,50097.39,2,83.15,183,yes,11-26-2018,Nashik
42,Shepard Delouch,Male,Sales,Developer,25,31329.4,5,88.12,180,yes,9-18-2016,Nashik
43,Karita Wortt,Female,Sales,Developer,35,56331.48,5,92.76,188,no,09-04-2020,Mumbai
44,Rebe Howton,Female,Finance,Executive,29,70800.83,5,91.64,168,no,12-08-2024,Solapur
45,Annabella Newband,Female,Sales,Analyst,37,49737.35,5,84.24,200,yes,10-24-2017,Pune
46,Grantley Philcox,Male,IT,Developer,24,30652.42,4,84.43,179,yes,05-04-2023,Mumbai
47,Judy Rosenberger,Female,HR,Executive,36,32060.06,1,81.41,159,no,12-14-2017,Nashik
48,Brinna Petto,Genderqueer,IT,Executive,27,77410.85,1,87.34,164,no,10-20-2019,Nagpur
49,Shanan Maslin,Genderqueer,HR,Analyst,32,39740.02,1,93.25,196,yes,4-30-2025,Solapur
50,Angie Wyson,Non-binary,Finance,Executive,39,26594.37,1,82.95,171,no,05-07-2019,Amravati
51,Melita Colquhoun,Female,Finance,Manager,42,51305.02,4,87.34,169,yes,9-22-2020,Amravati
52,Robby Dietsche,Female,Sales,Developer,22,42265.16,4,97.67,178,no,05-03-2025,Amravati
53,Noe Poytress,Male,IT,Manager,37,66963.14,1,82.16,194,yes,6-23-2025,Nagpur
54,Pam Caunce,Genderqueer,IT,Developer,38,60411.59,4,91.53,178,yes,11-13-2023,Amravati
55,Harriot Yerrill,Female,Finance,Analyst,36,58917.55,1,96.23,171,yes,06-09-2018,Pune
56,Jeremy Simonson,Male,IT,Analyst,40,54670.06,4,88.27,165,yes,3-16-2015,Solapur
57,Pepe Donnison,Agender,IT,Developer,23,37905.06,2,95.14,167,no,11-09-2019,Pune
58,Consuelo Geratasch,Female,HR,Analyst,30,35736.41,4,91.79,162,no,06-11-2021,Pune
59,Foss Gissop,Male,HR,Developer,25,81462.96,3,96.16,179,yes,12-28-2018,Amravati
60,Zerk Farny,Male,Finance,Analyst,42,72801.33,2,81.46,177,yes,02-08-2020,Mumbai
61,Chrisse Fancott,Male,IT,Executive,35,66348.06,3,95.88,178,yes,11-19-2019,Nashik
62,Alwyn McNaughton,Male,IT,Manager,29,49065.23,4,94.93,165,yes,3-22-2015,Solapur
63,Janene Montgomery,Female,IT,Developer,32,88907.78,5,94.19,185,no,02-11-2019,Pune
64,Shell Ivamy,Female,HR,Analyst,23,46402.93,5,98.2,155,no,10-22-2024,Mumbai
65,Hort Toovey,Male,Finance,Developer,25,44834.69,2,94.36,190,yes,11-05-2023,Amravati
66,Jens Kisbey,Male,Sales,Analyst,24,26081.81,4,88.31,187,yes,10-08-2019,Nagpur
67,Dicky Brayfield,Male,IT,Manager,35,56783.07,3,86.52,176,yes,1-19-2019,Nagpur
68,Alysia Dyshart,Female,Finance,Developer,31,25882.23,5,84.98,186,no,7-14-2018,Amravati
69,Betteann Daverin,Female,HR,Executive,38,51002.42,3,92.34,193,no,12-12-2015,Mumbai
70,Roanna Haughian,Female,Finance,Executive,43,76500.73,3,92.7,164,no,06-02-2019,Solapur
71,Town Saward,Male,HR,Developer,42,42816.09,4,91.54,171,no,03-04-2025,Amravati
72,Tobit Fowle,Male,Sales,Executive,25,76743.4,4,80.6,157,no,1-21-2025,Pune
73,Dorris Morrill,Female,Sales,Manager,27,72870.64,5,99.99,151,no,6-21-2025,Solapur
74,Kimberli Puckring,Female,Sales,Developer,29,28470.91,2,85.17,172,yes,3-18-2023,Amravati
75,Sandra Davydzenko,Female,Finance,Developer,43,56664.26,3,93.79,200,yes,8-13-2020,Aurangabad
76,Kriste McLise,Female,Finance,Executive,23,49107.07,4,86.15,151,yes,1-30-2022,Amravati
77,Shermy Tigwell,Male,IT,Executive,44,61944.72,3,87.41,167,yes,08-07-2025,Nagpur
78,Wolfy Hugle,Male,IT,Analyst,26,33882.49,3,92.82,180,yes,1-22-2023,Nashik
79,Roseanna Wressell,Genderqueer,IT,Developer,38,43000.24,2,94.12,156,no,12-08-2023,Solapur
80,William Joanaud,Non-binary,Finance,Manager,39,29345.64,1,92.07,194,yes,4-27-2019,Solapur
81,Harry Tuohy,Male,HR,Analyst,31,56512.04,5,90.79,158,yes,8-26-2016,Pune
82,Davon Skalls,Agender,IT,Developer,31,68393.69,4,89.18,171,yes,9-24-2023,Amravati
83,Antonino Prandy,Bigender,Sales,Manager,25,65642.3,1,83.42,173,yes,6-19-2019,Aurangabad
84,Eleanora Piatkow,Female,Sales,Developer,24,60790.14,2,91.26,161,yes,6-24-2022,Nashik
85,Sibilla Pizey,Female,Sales,Executive,24,27638.44,4,98.99,200,no,04-11-2016,Nagpur
86,Gratia Hebden,Agender,IT,Executive,29,72383.46,1,96.39,189,yes,1-16-2022,Mumbai
87,Bret Sesons,Male,IT,Executive,34,86655.63,1,87.54,156,no,05-08-2015,Pune
88,Milicent Hutchinges,Female,Finance,Executive,38,73500.78,4,93.05,177,yes,9-29-2025,Mumbai
89,Dodi Woodbridge,Female,Finance,Developer,32,31358.38,2,85.84,153,yes,10-03-2020,Nashik
90,Clarie Aubri,Female,HR,Manager,26,27740.12,1,93.65,192,yes,07-09-2017,Aurangabad
91,Dallon Decayette,Male,Finance,Analyst,34,52008.36,3,86.1,173,no,12-29-2021,Amravati
92,Riannon Bugden,Female,Finance,Developer,28,45198.49,2,92.86,188,no,12-03-2020,Mumbai
93,Bev Leete,Male,Finance,Developer,44,79124.12,2,86.88,175,no,1-27-2019,Amravati
94,Jewel Sharply,Female,HR,Executive,29,71222.8,5,86.32,179,no,03-03-2022,Pune
95,Daveen Gillum,Female,HR,Executive,33,59321.37,5,95.83,175,yes,09-12-2023,Aurangabad
96,Seamus Butlin,Male,HR,Developer,40,57260.27,3,89.81,156,no,9-18-2016,Amravati
97,Star MacKenny,Female,Sales,Developer,38,68152.49,2,89.74,172,no,11-03-2024,Mumbai
98,Juditha Gravenall,Non-binary,Sales,Manager,26,76538.79,1,87.16,190,no,10-29-2025,Nashik
99,Jaymie Goodliff,Male,IT,Analyst,42,89129.62,4,82.72,160,yes,5-21-2023,Amravati
100,Herrick Filshin,Male,Sales,Developer,32,44717.89,1,99.65,171,no,3-14-2016,Solapur
101,Essy Berget,Female,HR,Developer,38,51446.97,5,80.05,188,no,11-01-2024,Nashik
102,Gayel Jumonet,Female,Finance,Developer,25,81849.7,3,91.89,159,yes,01-11-2025,Nashik
103,Patrica Wainscot,Female,HR,Analyst,30,55633.15,2,88.01,188,no,11-12-2016,Pune
104,Peta Pedracci,Female,IT,Analyst,34,34442.34,3,99.72,189,yes,08-10-2025,Aurangabad
105,Cole Ladbrooke,Male,IT,Developer,41,89486.97,1,82.81,167,no,5-27-2021,Mumbai
106,Beale Ennals,Male,Finance,Analyst,33,42177.95,2,82.81,157,no,10-16-2018,Nagpur
107,Dav Johnes,Male,Finance,Developer,39,51318.96,3,87.11,166,no,10-14-2020,Mumbai
108,Jordon Whyler,Male,HR,Executive,25,64754.88,1,94.94,179,no,12-24-2023,Aurangabad
109,Rosana Lindenblatt,Female,IT,Executive,30,60105.71,4,92.97,187,no,07-01-2023,Solapur
110,Daria Boule,Female,HR,Analyst,41,74729.25,5,80.63,171,no,11-16-2016,Mumbai
111,Penrod Gierok,Male,IT,Analyst,27,55145.78,1,92.96,165,no,10-02-2015,Pune
112,Ashley McRorie,Male,Finance,Executive,41,76804.88,2,90.56,156,yes,5-26-2023,Amravati
113,Karlee Crassweller,Female,Finance,Manager,37,70050.69,2,91.59,170,yes,12-01-2025,Solapur
114,Corney Manderson,Male,HR,Analyst,45,71426.51,5,97.01,163,no,02-07-2017,Mumbai
115,Almeta Trematick,Genderqueer,IT,Developer,22,49296.92,4,86.6,177,yes,3-23-2024,Aurangabad
116,Elise Garlicke,Female,Finance,Manager,31,71024.9,5,96.6,171,yes,3-25-2025,Aurangabad
117,Rick Cuttle,Male,Sales,Manager,42,63937.51,4,85.91,183,no,05-06-2019,Pune
118,Enrique Blindt,Male,HR,Analyst,27,65056.44,2,97.97,200,no,12-20-2017,Amravati
119,Darcee Brazer,Female,Finance,Analyst,22,71620.04,1,92.18,165,yes,2-24-2023,Aurangabad
120,Davon Scargle,Male,Sales,Executive,39,57780.2,5,94.37,170,yes,2-19-2015,Amravati
121,Rriocard Hutley,Male,IT,Manager,27,86795.77,4,87.47,152,no,8-30-2018,Mumbai
122,Jessamine Haile,Female,Finance,Manager,26,52027.36,2,81.3,180,yes,6-15-2017,Nagpur
123,Shea Soigne,Male,HR,Developer,23,74469.07,1,82.88,190,no,10-09-2024,Amravati
124,Elysia Feares,Female,Sales,Manager,27,70395.61,5,94.37,163,no,03-04-2018,Pune
125,Ichabod Gillaspy,Male,Sales,Analyst,34,71223.22,1,97.72,169,no,03-01-2024,Nashik
126,Andie Pheazey,Male,IT,Developer,43,78160.26,4,85.97,182,no,01-09-2019,Pune
127,Bartlet Ellacott,Male,Sales,Executive,31,79039.73,5,89.72,180,yes,10-23-2022,Aurangabad
128,Burtie Bartosch,Male,IT,Developer,27,72484.11,2,92.49,187,yes,01-12-2015,Nashik
129,Billy Crowther,Female,HR,Developer,25,78668.94,3,87.74,151,no,3-18-2024,Aurangabad
130,Paddy Giametti,Male,Finance,Analyst,24,62904.63,4,91.32,179,no,12-20-2024,Amravati
131,Norean Kristiansen,Female,Finance,Manager,27,53359.9,4,83.91,160,no,6-28-2025,Nagpur
132,Chen Cookley,Male,Finance,Analyst,45,67540.45,5,88.21,178,yes,7-21-2025,Aurangabad
133,Hayley McGeachy,Female,Finance,Executive,31,30518.13,1,90.23,189,no,7-16-2018,Pune
134,Aldo Aldren,Male,HR,Executive,27,84249.9,2,87.17,184,yes,10-26-2020,Nagpur
135,Orton Ibanez,Male,Sales,Analyst,22,34451.2,1,91.85,165,yes,4-22-2020,Mumbai
136,Virgina Rao,Female,Finance,Executive,22,72852.01,4,87.69,165,yes,07-10-2017,Mumbai
137,Leodora Dargue,Female,Sales,Analyst,31,45150.57,1,81.57,176,yes,06-09-2020,Aurangabad
138,Darnall Grafhom,Male,HR,Developer,28,32509.76,5,94.02,150,yes,10-09-2018,Nashik
139,Stern Allcroft,Male,Sales,Developer,24,79339.9,3,91.78,180,no,10-19-2023,Pune
140,Marlee Baynton,Female,Sales,Manager,41,28384.52,5,92.56,153,no,5-22-2017,Solapur
141,Ban Nolte,Male,Sales,Analyst,37,63019.66,2,90.11,194,no,1-24-2022,Amravati
142,Star Goodrich,Genderqueer,Finance,Developer,45,77898.68,3,81.94,167,no,6-15-2016,Amravati
143,Everett Ventham,Male,Finance,Developer,37,49937.46,3,92.27,177,yes,10-01-2021,Solapur
144,Reuben Petric,Male,Finance,Analyst,31,55839.1,1,96.48,184,yes,9-25-2015,Aurangabad
145,Luise Amey,Female,IT,Developer,43,75368.56,1,97.62,186,no,1-13-2025,Pune
146,Sherwynd Wattingham,Male,Finance,Executive,42,41821.76,5,88.74,188,no,9-23-2016,Mumbai
147,Alastair Polini,Male,HR,Developer,42,30445.87,1,93.63,170,no,12-19-2017,Nashik
148,Meir Duchesne,Male,IT,Analyst,45,64879.73,5,98.73,153,yes,2-26-2017,Pune
149,Aland Brecknock,Male,Sales,Manager,45,78501.81,2,82.8,169,no,10-08-2017,Aurangabad
150,Granny Cowden,Polygender,Finance,Analyst,25,65542.17,5,86.34,176,no,09-08-2020,Nagpur
151,Dmitri Barizeret,Male,Finance,Developer,33,60708.9,1,81.74,178,no,5-21-2020,Amravati
152,Frasquito Halpen,Male,IT,Developer,41,85666.53,1,96.76,194,no,10-27-2021,Mumbai
153,Harlan Caulcutt,Male,HR,Analyst,39,53539.49,5,99.26,178,yes,4-22-2021,Amravati
154,Darrick Donet,Male,IT,Analyst,35,74678.05,1,82.18,189,yes,9-22-2019,Aurangabad
155,Janenna Tethcote,Female,IT,Executive,39,41356.78,3,82.61,196,no,02-03-2023,Pune
156,Terrance Grzeszczak,Polygender,Sales,Executive,35,71770.16,3,99.78,200,yes,12-02-2023,Pune
157,Coop Pleasaunce,Male,HR,Developer,33,33852.39,2,83.13,151,no,2-19-2018,Amravati
158,Shaw McIntosh,Male,Sales,Analyst,28,50086.74,2,83.01,162,yes,3-15-2021,Solapur
159,Meghann Swane,Female,IT,Developer,36,61202.45,1,93.72,175,no,8-23-2024,Mumbai
160,Tarah Bower,Female,HR,Executive,24,64889.32,2,87.65,185,yes,06-10-2022,Amravati
